Preference Vector (1/5): 1.0, 0.0
35/100: weights=[0.01521594 1.984784  ], train_loss=[1.5397265  0.41257828], train_acc=[0.45453333 0.84561667], test_loss=[1.5415986  0.53500783], test_acc=[0.4528  0.80335]
36/100: weights=[0.4143843 1.5856158], train_loss=[1.6081586  0.41170618], train_acc=[0.4371     0.84568333], test_loss=[1.6085541 0.5407554], test_acc=[0.436   0.80305]
37/100: weights=[-0.11643668  1.8835633 ], train_loss=[1.5397822  0.40563607], train_acc=[0.455525   0.84809167], test_loss=[1.5443373 0.535633 ], test_acc=[0.45125 0.8031 ]
38/100: weights=[0.06674597 1.9332541 ], train_loss=[1.5347817  0.40805286], train_acc=[0.4572     0.84703333], test_loss=[1.5338337 0.536102 ], test_acc=[0.45555 0.8034 ]
39/100: weights=[0.08592597 1.9140741 ], train_loss=[1.4965581  0.40768877], train_acc=[0.46965    0.84733333], test_loss=[1.4982218 0.5385471], test_acc=[0.4679 0.8048]
40/100: weights=[-0.09142926  1.9085708 ], train_loss=[1.5291177  0.41126615], train_acc=[0.469225 0.846025], test_loss=[1.5324706  0.54301745], test_acc=[0.46415 0.80275]
41/100: weights=[0.17877214 1.8212279 ], train_loss=[1.3589342 0.4105835], train_acc=[0.504225   0.84621667], test_loss=[1.3666724  0.54211676], test_acc=[0.49925 0.80135]
42/100: weights=[0.19143847 1.8085616 ], train_loss=[1.3920907  0.41033047], train_acc=[0.495575 0.845125], test_loss=[1.3973153  0.54705155], test_acc=[0.49185 0.80365]
43/100: weights=[-0.08981856  1.9101814 ], train_loss=[1.5064992  0.40442514], train_acc=[0.47153333 0.84836667], test_loss=[1.5049089 0.5358169], test_acc=[0.46845 0.80375]
44/100: weights=[-0.17017336  1.8298266 ], train_loss=[1.3835359 0.4070381], train_acc=[0.49961667 0.84695833], test_loss=[1.389098  0.5421463], test_acc=[0.4941 0.8012]
45/100: weights=[0.05821071 1.9417893 ], train_loss=[1.3259829 0.3998324], train_acc=[0.518675   0.84970833], test_loss=[1.3327305  0.53787434], test_acc=[0.51355 0.80485]
46/100: weights=[0.02288658 1.9771135 ], train_loss=[1.2853194  0.39545032], train_acc=[0.529275   0.85146667], test_loss=[1.2927852 0.5359768], test_acc=[0.5246  0.80585]
47/100: weights=[0.4393106 1.5606894], train_loss=[1.2696797  0.40360448], train_acc=[0.53399167 0.84835   ], test_loss=[1.2778686 0.5455777], test_acc=[0.52615 0.80055]
