Preference Vector (1/5): 1.0, 0.0
35/100: weights=[0.21878079 1.7812191 ], train_loss=[0.8135564  0.28357494], train_acc=[0.727725   0.89441667], test_loss=[0.80258167 0.414842  ], test_acc=[0.726  0.8515]
36/100: weights=[0.22234935 1.7776506 ], train_loss=[0.80162185 0.2876241 ], train_acc=[0.731975   0.89415833], test_loss=[0.7925155  0.42051727], test_acc=[0.73055 0.8523 ]
37/100: weights=[0.13616632 1.8638337 ], train_loss=[0.80185896 0.2832903 ], train_acc=[0.73016667 0.894625  ], test_loss=[0.7911791 0.415808 ], test_acc=[0.7295  0.85265]
38/100: weights=[0.15189426 1.8481057 ], train_loss=[0.7963156  0.28542134], train_acc=[0.73395833 0.893025  ], test_loss=[0.78622526 0.42123815], test_acc=[0.73235 0.85015]
39/100: weights=[0.22962189 1.7703782 ], train_loss=[0.78546286 0.2796282 ], train_acc=[0.73855833 0.896525  ], test_loss=[0.7753733  0.41528726], test_acc=[0.73595 0.8528 ]
40/100: weights=[0.22426714 1.7757328 ], train_loss=[0.77964073 0.282828  ], train_acc=[0.7401     0.89515833], test_loss=[0.7725718 0.4248722], test_acc=[0.73665 0.85115]
41/100: weights=[0.27890405 1.7210959 ], train_loss=[0.78840214 0.28039843], train_acc=[0.736825   0.89578333], test_loss=[0.78255856 0.41829982], test_acc=[0.7334 0.8522]
42/100: weights=[0.05413087 1.9458691 ], train_loss=[0.7768589  0.27532068], train_acc=[0.73991667 0.89826667], test_loss=[0.7692205 0.4161594], test_acc=[0.73785 0.85205]
43/100: weights=[0.28597274 1.7140272 ], train_loss=[0.7663002 0.2752117], train_acc=[0.7439     0.89846667], test_loss=[0.7591431  0.41891113], test_acc=[0.7412  0.85245]
44/100: weights=[0.24563825 1.7543617 ], train_loss=[0.76759535 0.28414372], train_acc=[0.74325833 0.89399167], test_loss=[0.76169896 0.42640013], test_acc=[0.741   0.84905]
45/100: weights=[0.38676274 1.6132371 ], train_loss=[0.7635945  0.28041735], train_acc=[0.74561667 0.89495833], test_loss=[0.75953996 0.42451936], test_acc=[0.741  0.8504]
46/100: weights=[-7.5085707e-05  1.9999249e+00], train_loss=[0.7526058  0.27229854], train_acc=[0.74965 0.89925], test_loss=[0.74801177 0.42390105], test_acc=[0.74635 0.8505 ]
47/100: weights=[0.39760095 1.602399  ], train_loss=[0.74793667 0.27176294], train_acc=[0.75139167 0.899875  ], test_loss=[0.7425726 0.4233612], test_acc=[0.74805 0.8523 ]
48/100: weights=[0.21562463 1.7843753 ], train_loss=[0.7437709  0.27110106], train_acc=[0.75266667 0.90001667], test_loss=[0.7385821  0.42401785], test_acc=[0.7488  0.85145]
49/100: weights=[0.01593335 1.9840667 ], train_loss=[0.73940605 0.2704064 ], train_acc=[0.7538 0.9005], test_loss=[0.73367614 0.4252653 ], test_acc=[0.75225 0.85395]
50/100: weights=[0.46179473 1.5382051 ], train_loss=[0.73321444 0.26889527], train_acc=[0.75645833 0.90071667], test_loss=[0.7291505 0.4216752], test_acc=[0.7518  0.85235]
51/100: weights=[0.05209108 1.9479089 ], train_loss=[0.73141384 0.2670877 ], train_acc=[0.75731667 0.90136667], test_loss=[0.7276985 0.4229638], test_acc=[0.7519 0.8523]
52/100: weights=[0.10394734 1.8960527 ], train_loss=[0.7340502 0.2662342], train_acc=[0.755675   0.90220833], test_loss=[0.73124415 0.42265028], test_acc=[0.7524  0.85185]
53/100: weights=[0.27269 1.72731], train_loss=[0.7311232  0.26855823], train_acc=[0.75729167 0.900725  ], test_loss=[0.7287773  0.42683083], test_acc=[0.7542 0.8529]
54/100: weights=[0.25414366 1.7458564 ], train_loss=[0.72365814 0.26532727], train_acc=[0.75945833 0.90215833], test_loss=[0.7199741  0.42367893], test_acc=[0.75645 0.8532 ]
55/100: weights=[0.34061444 1.6593857 ], train_loss=[0.72294545 0.26802182], train_acc=[0.75995  0.900725], test_loss=[0.72154754 0.42549434], test_acc=[0.75535 0.8512 ]
56/100: weights=[0.23598593 1.764014  ], train_loss=[0.72482514 0.26823804], train_acc=[0.7591     0.90079167], test_loss=[0.7225989 0.4271503], test_acc=[0.756  0.8524]
