Preference Vector (1/5): 1.0, 0.0
35/100: weights=[0.4451508 1.5548491], train_loss=[0.37543976 0.2320518 ], train_acc=[0.87804167 0.921225  ], test_loss=[0.38971534 0.33204138], test_acc=[0.8709  0.89125]
36/100: weights=[0.22709121 1.7729089 ], train_loss=[0.37641966 0.23192573], train_acc=[0.87735833 0.92184167], test_loss=[0.39065048 0.3353386 ], test_acc=[0.86935 0.8882 ]
37/100: weights=[0.56225216 1.437748  ], train_loss=[0.3758894  0.23116912], train_acc=[0.87809167 0.92155833], test_loss=[0.38906565 0.33491734], test_acc=[0.87055 0.89015]
38/100: weights=[0.3170578 1.6829423], train_loss=[0.37930977 0.22932392], train_acc=[0.876875   0.92266667], test_loss=[0.39344776 0.33259442], test_acc=[0.86935 0.89105]
39/100: weights=[0.19635671 1.8036433 ], train_loss=[0.37210715 0.23688307], train_acc=[0.87886667 0.91986667], test_loss=[0.3865598  0.34653166], test_acc=[0.8714 0.8881]
40/100: weights=[0.29138568 1.7086145 ], train_loss=[0.37226722 0.2283234 ], train_acc=[0.87891667 0.92299167], test_loss=[0.3851346  0.33365873], test_acc=[0.87335 0.89145]
41/100: weights=[0.43403795 1.5659621 ], train_loss=[0.37663728 0.22489057], train_acc=[0.87835    0.92415833], test_loss=[0.39176333 0.33473623], test_acc=[0.87105 0.89155]
42/100: weights=[0.31867108 1.6813289 ], train_loss=[0.3715677  0.22661509], train_acc=[0.87975 0.92335], test_loss=[0.38760778 0.3365091 ], test_acc=[0.8724 0.8912]
43/100: weights=[0.22262429 1.7773758 ], train_loss=[0.37010118 0.22046608], train_acc=[0.87978333 0.9257    ], test_loss=[0.38333142 0.33183482], test_acc=[0.87305 0.893  ]
44/100: weights=[0.44531485 1.5546851 ], train_loss=[0.3690543  0.22547826], train_acc=[0.88086667 0.92393333], test_loss=[0.3830584  0.33948943], test_acc=[0.8746  0.88985]
45/100: weights=[0.5124166 1.4875834], train_loss=[0.36465707 0.21525119], train_acc=[0.88129167 0.92771667], test_loss=[0.38055268 0.33027542], test_acc=[0.87465 0.8922 ]
46/100: weights=[0.25445402 1.7455459 ], train_loss=[0.36282614 0.21758316], train_acc=[0.88255833 0.927225  ], test_loss=[0.37584355 0.33164835], test_acc=[0.8758  0.89345]
47/100: weights=[0.24977031 1.7502296 ], train_loss=[0.36550176 0.21485505], train_acc=[0.8809 0.9283], test_loss=[0.38188243 0.33321646], test_acc=[0.87245 0.893  ]
48/100: weights=[0.55801165 1.4419883 ], train_loss=[0.36171126 0.21186905], train_acc=[0.8828 0.9292], test_loss=[0.37839293 0.33004916], test_acc=[0.87425 0.8935 ]
49/100: weights=[0.52781254 1.4721875 ], train_loss=[0.3608012  0.21451263], train_acc=[0.88264167 0.92784167], test_loss=[0.37748447 0.33332354], test_acc=[0.87355 0.8916 ]
50/100: weights=[0.6822344 1.3177655], train_loss=[0.35948533 0.21432704], train_acc=[0.8833     0.92834167], test_loss=[0.37582007 0.33648485], test_acc=[0.87575 0.89105]
51/100: weights=[0.4154307 1.5845692], train_loss=[0.3632554  0.21310584], train_acc=[0.881775   0.92881667], test_loss=[0.37868208 0.33084893], test_acc=[0.87495 0.89325]
52/100: weights=[0.49677238 1.5032277 ], train_loss=[0.35999072 0.21259448], train_acc=[0.88306667 0.929     ], test_loss=[0.37789565 0.33300343], test_acc=[0.8744  0.89215]
53/100: weights=[0.18792233 1.8120776 ], train_loss=[0.36080128 0.2107162 ], train_acc=[0.88355  0.929325], test_loss=[0.3768325 0.3359744], test_acc=[0.87535 0.892  ]
54/100: weights=[0.37204966 1.6279504 ], train_loss=[0.36124563 0.21557753], train_acc=[0.88281667 0.92711667], test_loss=[0.37769136 0.33831045], test_acc=[0.87605 0.8916 ]
